,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_27,A_28,A_31,A_32,A_33,A_34,A_35,A_36,A_37,A_38,A_39,A_40,A_41,A_42,A_43,A_44,A_46,A_47,A_48,A_49,A_50,A_51,A_52,A_53,A_54,A_55,A_56,A_57,A_58,A_59,A_60,A_61,A_62,A_63,A_64,A_65,A_67,A_70,A_72,A_73,A_74,A_75,A_76,A_77,A_78,A_79,A_80,A_81,A_82,A_84,A_85,A_86,A_87,A_88,A_89,A_90
P_27,458.98924355686535,4.23452380952381,23.778778166278162,20.90833333333333,0.1,2.267857142857143,3.5682900432900437,1.9619047619047618,5.0,0.0,0.0,0.0,0.0,34.14047619047618,0.0,2.0,0.0,7.1,0.0,0.0,0.45833333333333326,0.0,0.0,0.0,129.93333333333325,0.2,13.5,1.0,74.18730158730159,0.0,8.783333333333333,0.0,0.0,2.0922549672549677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.125,3.5813034188034187,0.0,0.95,0.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
P_28,314.2877777610822,17.490476190476187,40.38419913419912,21.459523809523798,2.083333333333333,12.502417027417021,2.8333333333333335,9.716666666666667,9.988888888888894,0.0,1.0,1.5,0.0,9.5,7.920057720057718,2.0,2.5,5.075,0.0,1.6999999999999997,1.25,0.0,1.1666666666666665,0.0,2.5,818.5198773448791,5.666666666666667,0.0,1.0558061821219715,0.0,1.0,0.0,0.0,50.23344474153298,0.0,0.6666666666666666,0.0,9.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.8333333333333333,1.0,1.5,0.34285714285714286,0.0,3.0,0.5,3.0,0.0,27.666666666666664,20.583333333333332,1.2916666666666667,1.0,17.03333333333334,22.796919381787795,1.3333333333333333,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,5.0,0.0,6.833333333333333,1.5,0.0,0.5,6.7,0.0,0.0
P_31,405.9941254511568,8.078571428571431,7.126198126778621,1.678113553113553,0.0,1.9881313131313132,1.0047619047619047,2.658333333333333,0.7000000000000001,0.0,0.0,0.0,0.0,9.750000000000002,0.7333333333333334,0.8333333333333333,7.5,7.253113553113554,3.5,0.25,2.617460317460317,0.0,0.0,0.0,35.89999999999999,0.16666666666666666,138.41666666666669,2.0,19.7,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,1.0,9.142857142857142,17.426190476190477,0.0,6.616666666666666,10.345924557562487,0.0,0.0,1.4999999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.0,2.0,1.25,0.0,0.0
P_32,662.7978602135435,0.0,7.333333333333332,0.25,0.0,0.0,3.0611111111111113,0.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.14285714285714285,0.0,21.166666666666664,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,84.30143500178517,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.38831168831168833,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3.5333333333333337,31.0,0.0,2.1666666666666665,9.366666666666664,0.0,13.950000000000005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
P_33,52.376350608692924,0.0,22.74553779553777,16.211111111111112,0.0,9.25,10.10515873015873,4.366666666666667,1.2916666666666667,0.8333333333333333,2.5,0.0,0.0,10.169841269841271,0.1,1.6666666666666665,0.5,5.7595238095238095,0.0,0.8333333333333333,0.0,0.0,0.0,0.5,41.650000000000006,0.25,3.083333333333333,0.0,655.5739581941459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,11.976190476190474,11.405357142857142,0.0,7.333333333333333,5.997965922965922,0.3333333333333333,0.25,34.792857142857144,0.0,0.0,0.0,11.0,0.0,6.75,15.250000000000004,2.0,3.666666666666667,0.0,0.0,0.0,0.0,1.5833333333333333,0.0,0.0
P_34,246.25563880563877,2.0,15.931045751633986,3.95,0.0,0.5,0.08333333333333333,0.0,0.5,0.0,0.0,4.0,0.0,0.5,3.5000000000000004,0.0,70.08333333333334,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.2,0.3333333333333333,9.166666666666666,0.0,0.0,0.2,76.5,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,1.5,0.3333333333333333,5.5,0.0,1.0,1.0,0.0,0.0,8.95,1.7011904761904761,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,2.8333333333333335,0.6666666666666666,0.25,0.0,0.0,10.15,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,5.333333333333333,0.0,0.0,0.8333333333333333,0.0,0.0
P_35,95.29220714636311,0.0,1.4761904761904763,0.0,3.6666666666666665,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.2942488323729775,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,4.333333333333334,0.0,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,276.03015873015875,15.0,0.0,0.0,0.0,0.0,2.111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2361111111111111,0.0,0.0,0.0,0.0,0.0,0.0
P_36,72.80388222888227,0.0,6.159523809523809,1.2,0.0,0.0,0.0,0.25396825396825395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56666666666667,15.5,0.0,0.0,0.0,0.0,1.8650793650793651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_37,244.93118767048327,0.0,1.8333333333333335,6.366666666666667,0.8333333333333333,0.0,2.1103535353535356,1.1583333333333332,2.342857142857143,1.3333333333333333,0.5,0.5,0.0,10.166666666666666,0.5,0.0,0.8666666666666667,0.65,0.0,0.0,0.0,18.000000000000007,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,87.0,0.25,0.0,0.3333333333333333,2.5,0.0,42.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.4166666666666665,1.0,6.5,0.0,7.333333333333333,2.0,0.3333333333333333,0.0,0.0,0.0,0.5,5.833333333333333,0.0,0.0,1.3333333333333333,12.314706024110043,0.0,0.6666666666666666,2.2,0.0,1.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,1.0,3.0,1.0,0.6666666666666666,5.7,0.0,0.0
P_38,233.34777729545803,0.125,0.7539917383957633,6.833333333333333,14.566666666666668,0.5,0.25,0.8095238095238095,11.076190476190476,0.0,0.0,0.4916666666666667,0.0,0.0,16.551984126984124,0.0,0.0,0.0,0.5,0.8333333333333333,1.0,0.0,0.0,0.0,0.0,10.00952380952381,0.5,0.0,0.0,0.0,3.8666666666666667,0.0,2.0,720.633499017323,0.0,0.0,1.0,11.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
P_39,308.01352993411797,0.14285714285714285,23.416666666666668,0.0,2.0,0.0,0.0,0.0,3.0693916162956407,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,1.1666666666666667,0.0,0.0,0.1,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.5,0.0,0.5,1.8778138528138528,71.83333333333333,0.0,1.0,0.0,48.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.25,0.0,0.0,24.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_40,370.5015326778472,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,1.8190476190476188,0.0,1.75,0.2532467532467533,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,8.833333333333334,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.3333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
